text,domain,intent,split
call hr so i can figure out how many days off i've taken,8,120,train
my car needs maintenance but i don't know if i can schedule an appointment for that,5,67,val
what do my federal taxes amount to,8,112,train
google find out what health plan i am under,8,109,test
"confirm a reservation for nicole brown at diangelo's at 6:45 pm, please",3,32,train
what big news happened over the weekend,0,0,oos_test
which type of gas should i get,5,73,test
can i sub bacon for ham,3,43,test
how do i go about changing my insurance to a new low monthly premium plan,8,108,train
are you a real person or artificial intelligence,9,133,train
can you raise your speaking speed,10,136,val
how long does it take to get to universal studios in los angeles,5,70,train
tell me how to check my rewards for my american express card,2,26,train
what spanish word means hello,6,78,train
i need to know how to apply for a mastercard,2,29,train
you can call me alan,10,147,train
is it possible to make reservations in advance for macaroni grill,3,45,train
just stop talking,10,145,test
increase volume,10,140,train
what steps do i need to take to obtain my w2 for taxes,8,117,test
how much am i paid,8,113,test
do the romans still use the colosseum for anything today,0,0,oos_test
what's it doing outside right now,7,91,train
can you convert millimeters to centimeters,7,100,train
do you change the oil in your car more than once a year,5,62,train
a w2 form can be gotten from where,8,117,train
i need to change your voice settings,10,136,train
where did i last place my remote,0,0,oos_test
could you inform me of when i last got my car checked,5,72,val
can you set the timer to 20 minutes,7,96,test
how long does visa take to get me a new card,2,16,train
spirit mastercard card was taken,2,20,val
"can you spell out ""wonderful",7,102,test
read my reminder list,4,49,test
where did you live before you moved here,9,128,test
stop the process,10,145,test
please whisper,10,138,train
what other names can i give you,10,148,train
"""can u set a timer for 5 minutes",7,96,train
how do i go about resolving my luggage that didn't arrive,6,86,train
what is let it be mean,7,99,train
i want to make sure my reservation for 5 at mcdonalds is still set,3,32,train
help me reserve a table for 3 at lucky's under the name crystal at 8 pm,3,39,val
tell me where my package is currently,4,52,test
"how many carry ons can i take with spirit, going to tampa",6,89,val
have i been spending more money at restaurants,1,13,train
what is the minimum payment for the bill,1,8,train
how much do i pay the government in taxes,8,112,train
i want to know my recent spending,1,13,train
how do i check how many rewards i have on my master card,2,26,train
does my visa have international transaction fees,2,30,val
i really don't have a clue,10,150,train
how is the weather in miami,7,91,train
are vaccinations necessary to go there,6,85,train
"i have no oranges, put them onto my list",4,59,val
pay a bill!,1,5,val
i would like for you to start a biography on me,0,0,oos_test
what does a flashing yellow light mean,0,0,oos_test
what date will my next paycheck be here,8,111,train
italy's timezone is what,6,81,train
can you update me on the status of my american express card application,2,27,train
i'm traveling to morocco soon and want to inform my bank,6,77,train
where is the nearest movie theater to time' square,5,71,test
what name would you like me to call you,9,127,train
please provide the name of the insurance plan that i'm enrolled in,8,109,train
how many miles can i drive on 1 gallon of gas,5,69,train
i’m making spaghetti what ingredients do i need,3,34,train
when should my tires be changed,5,74,test
find out the cost of my bill payments,1,9,train
life has what meaning or what's the secret to it,9,122,train
how much farther can i drive on the gas i have,5,68,train
i want income data,8,113,train
do you know if bahama breeze does reservations,3,45,train
how should i spell malignant,7,102,val
how do i do an oil change and what type do i use,5,63,train
i'm unsure,10,150,train
hi ai,9,131,train
which day is it now,7,93,test
set up whisper mode,10,138,val
please answer the phone and put it on speaker on the tv,0,0,oos_test
can you see if paying garbage bill is on my todo list for this week,4,58,test
what's the proper way of spelling seance,7,102,train
can i use my credit card point on amazon,2,24,train
does delta allow more than one carry on when traveling to miami,6,89,train
i'd like to schedule a meeting room from 1:00 pm until 2:00 pm,8,118,train
"new reminder, please",4,50,train
how do i get red wine out of a couch cushion,0,0,oos_test
i need to redeem my visa points,2,24,test
tell the restaurant to cancel my reservation,3,42,train
can you sign me up for a meeting in the blue room on friday,8,118,train
when will i be off again,8,107,train
what kind of plug converter is needed in c,6,76,train
fairwell,9,129,train
next song please,4,56,val
locate lost luggage from flight america airlines in o'hare,6,86,train
"are eggs on my list, if not add them",4,59,train
set 30 minute timer,7,96,train
how about lets start calling you juliette,10,148,test
get me a hotel in phoenix near chase field from january 4th to the 8th,6,88,test
what is the cheapest electric guitar,0,0,oos_val
how long would the wait at the restaurant be,3,33,val
websites that share credit ratings,2,28,train
please say things more quickly,10,136,train
i need to know what my to-do list is looking like,4,58,train
how soon until the milk expires,3,31,train
explain to me how to rollover my 401k,8,114,train
help me find a new insurance plan,8,108,test
does mcdonalds have good reviews,3,38,train
have you seen my cellphone,7,94,train
you shall address me as nick,10,147,val
it was great talking to you,9,129,test
how many pto days are available,8,115,val
will you tell me my credit score,2,28,train
the ingredients in pizza are which ones,3,34,train
how much pto have i used so far,8,120,val
what are some things i can do in portland,6,83,train
give me a summary of today's meetings,8,110,test
what is my gas level,5,68,train
how much highway mpg does it get,5,69,train
when i visit thailand do i need a plug converter,6,76,train
are my state tax payments too high,8,112,train
find me the exchange rate between usd and cad,6,82,test
what do you put in a tibetan omelette,3,34,train
what can i do to get rid of this event,4,51,test
"no, that is not right",10,141,train
"if i travel here, do i need vaccinations",6,85,test
can i make a reservation for 6 pm on the 21st at sidetracks,3,39,train
what is my credit limit at,2,25,train
can you permanently talk faster,10,136,val
can you please freeze my account,1,1,val
"i just finished taking out my recycling, so cross that off my to do list",4,48,train
"hi, how are you",9,131,test
take me to the next song on this playlist,4,56,train
is there a name that you call me,10,137,train
what is the number of my credit score,2,28,train
i need new dinner ideas,3,40,train
transfer $20000 from my savings account to checking account,1,10,train
